step,arm_id,arm_name,start_fish_population,start_ships,end_fish_population,end_ships,hatch,death,catch,revenue,cost,profit,ship_building,ship_scrap,density,reward
0,1,baseline_laissez_faire,1000.0,1.0,977.7916666666666,1.0833333333333333,60.0,57.208333333333336,25.0,500.0,250.0,250.0,0.16666666666666666,0.08333333333333333,10.0,1.0648263888888887
1,1,baseline_laissez_faire,977.7916666666666,1.0833333333333333,953.8373447761139,1.172327962962963,58.6675,55.634724668330435,26.98709722222222,539.7419444444445,270.8333333333333,268.90861111111116,0.17927240740740746,0.09027777777777778,9.777916666666666,1.063773065091206
2,1,baseline_laissez_faire,953.8373447761139,1.172327962962963,928.0193475025678,1.2671356787264858,57.23024068656683,53.956509972293226,29.09172798781976,581.8345597563952,293.08199074074076,288.7525690156544,0.19250171267710292,0.09769399691358026,9.538373447761138,1.0621020252677942
3,1,baseline_laissez_faire,928.0193475025678,1.2671356787264858,900.210372883881,1.3678658251292926,55.681160850154065,52.17658051250882,31.31355495633211,626.2710991266422,316.78391968162146,309.48717944502073,0.2063247862966805,0.10559463989387381,9.280193475025678,1.0596624901815883
4,1,baseline_laissez_faire,900.210372883881,1.3678658251292926,870.2930705209583,1.4745747067895585,54.012622373032855,50.27927439026133,33.65065034569418,673.0130069138836,341.9664562823231,331.0465506315605,0.22069770042104034,0.11398881876077438,9.00210372883881,1.0562907760656923
5,1,baseline_laissez_faire,870.2930705209583,1.4745747067895585,838.1501857888627,1.587255262621748,52.2175842312575,48.26115152363465,36.09931743971843,721.9863487943687,368.6436766973896,353.34267209697913,0.2355617813979861,0.12288122556579655,8.702930705209583,1.0518011602543647
6,1,baseline_laissez_faire,838.1501857888627,1.587255262621748,803.6659078154144,1.7058253628076414,50.28901114733176,46.11949543268036,38.65379368809978,773.0758737619956,396.813815655437,376.2620581065586,0.25084137207103907,0.13227127188514567,8.381501857888628,1.0459836479527371
7,1,baseline_laissez_faire,803.6659078154144,1.7058253628076414,766.7274063007744,1.8301155204265567,48.21995446892486,43.8524686095029,41.305987374061914,826.1197474812383,426.45634070191034,399.66340677932794,0.26644227118621866,0.14215211356730345,8.036659078154143,1.0386029120299733
8,1,baseline_laissez_faire,766.7274063007744,1.8301155204265567,727.2265502044417,1.9598563047704172,46.00364437804647,41.45927564059179,44.04522483378747,880.9044966757494,457.5288801066392,423.37561656911026,0.2822504110460735,0.15250962670221305,7.667274063007744,1.0293977417394782
9,1,baseline_laissez_faire,727.2265502044417,1.9598563047704172,685.0617923614428,2.0946658360156425,43.633593012266495,38.94033029742814,46.85802055783722,937.1604111567444,489.9640761926043,447.19633496414014,0.29813088997609344,0.1633213587308681,7.272265502044417,1.0180811619320091
10,1,baseline_laissez_faire,685.0617923614428,2.0946658360156425,639.9733991401891,2.2332034247186856,41.10370754168657,36.52679718491875,49.66530357802153,993.3060715604306,523.6664590039106,469.63961255652,0.31309307503768,0.17455548633463688,6.850617923614428,1.0029507785066776
11,1,baseline_laissez_faire,639.9733991401891,2.2332034247186856,592.0113489190909,2.3728483264672624,38.39840394841135,34.01452232489103,52.34593184461861,1046.9186368923722,558.3008561796714,488.6177807127008,0.32574518714180056,0.1861002853932238,6.399733991401892,0.9819605714786099
12,1,baseline_laissez_faire,592.0113489190909,2.3728483264672624,541.331596763697,2.5108571347599367,35.52068093514545,31.358866347327616,54.84156674321176,1096.831334864235,593.2120816168156,503.61925324741946,0.33574616883161296,0.19773736053893853,5.920113489190909,0.954728917217167
