algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
epsilon_greedy,0,0,0,0,9,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
ucb1,0,0,0,0,9,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
softmax,0,0,0,0,9,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
pac_successive_elimination,0,0,0,0,9,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
epsilon_greedy,0,0,1,10,19,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
ucb1,0,0,1,10,19,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
softmax,0,0,1,10,19,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
pac_successive_elimination,0,0,1,10,19,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
epsilon_greedy,0,0,2,20,29,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
ucb1,0,0,2,20,29,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
softmax,0,0,2,20,29,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
pac_successive_elimination,0,0,2,20,29,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
epsilon_greedy,0,0,3,30,39,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
ucb1,0,0,3,30,39,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
softmax,0,0,3,30,39,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
pac_successive_elimination,0,0,3,30,39,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
epsilon_greedy,0,0,4,40,49,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
ucb1,0,0,4,40,49,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
softmax,0,0,4,40,49,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
pac_successive_elimination,0,0,4,40,49,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
epsilon_greedy,0,0,5,50,59,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
ucb1,0,0,5,50,59,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
softmax,0,0,5,50,59,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
pac_successive_elimination,0,0,5,50,59,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
epsilon_greedy,0,0,6,60,69,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
ucb1,0,0,6,60,69,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
softmax,0,0,6,60,69,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
pac_successive_elimination,0,0,6,60,69,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
epsilon_greedy,0,0,7,70,79,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
ucb1,0,0,7,70,79,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
softmax,0,0,7,70,79,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
pac_successive_elimination,0,0,7,70,79,4,high_taxation,-99.33161542103721,-42.057950342708786,85.2531035166604,82.81907722938729,1,0,0.015249509553941346,87.83628993266336
epsilon_greedy,0,0,8,80,89,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
ucb1,0,0,8,80,89,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
softmax,0,0,8,80,89,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
pac_successive_elimination,0,0,8,80,89,5,hard_capacity_control,-99.25555027502043,-16.986849037148097,91.37238888200585,88.45122530458379,1,0,0.006388078840479273,94.39797900993939
epsilon_greedy,0,0,9,90,99,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
ucb1,0,0,9,90,99,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
softmax,0,0,9,90,99,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
pac_successive_elimination,0,0,9,90,99,7,weak_capacity_control,-99.18692919303088,-6.809266848913826,98.38560885816361,95.10041925191823,1,0,0.0026759910623900696,101.75854483634545
epsilon_greedy,0,0,10,100,109,11,strong_marine_reserve,-99.11430741337455,-3.4859539636496613,106.70142487069262,103.05767664122041,1,0,0.0011209830599796225,110.42594177988168
ucb1,0,0,10,100,109,11,strong_marine_reserve,-99.11430741337455,-3.4859539636496613,106.70142487069262,103.05767664122041,1,0,0.0011209830599796225,110.42594177988168
softmax,0,0,10,100,109,11,strong_marine_reserve,-99.11430741337455,-3.4859539636496613,106.70142487069262,103.05767664122041,1,0,0.0011209830599796225,110.42594177988168
